time,low,high,open,close,volume
1519693200,10137.13,10355.01,10354.0,10186.58,1334.2496252099882
1519696800,10133.33,10224.01,10186.57,10157.4,585.163224279994
1519700400,10149.0,10300.0,10157.4,10260.27,503.8931492799973
1519704000,10257.31,10330.32,10260.27,10290.03,444.07602912999465
1519707600,10214.87,10325.71,10289.65,10305.56,418.0309472199974
1519711200,10250.0,10349.0,10305.56,10295.0,440.92545862999776
1519714800,10294.99,10646.99,10295.0,10604.01,1912.412032279972
1519718400,10593.58,10720.0,10604.0,10679.66,1021.4776725799934
1519722000,10648.8,10768.99,10679.67,10720.0,555.7569157999958
1519725600,10606.0,10722.17,10720.0,10639.99,435.799217639997
1519729200,10639.3,10721.69,10640.0,10689.96,347.0447093399993
1519732800,10651.97,10737.75,10689.96,10667.88,414.18728430999954
1519736400,10667.89,10845.07,10667.9,10844.57,975.2355480899936
1519740000,10660.0,10844.57,10844.56,10670.0,1118.4762279599886
1519743600,10464.67,10670.01,10670.0,10573.08,1671.7231482599843
1519747200,10561.01,10672.66,10573.07,10616.99,651.2995145099925
1519750800,10547.6,10619.64,10617.0,10570.0,543.6160702899946
1519754400,10566.56,10628.79,10569.99,10607.38,509.5799507499979
1519758000,10607.38,10718.0,10607.38,10680.0,767.8810480999925
1519761600,10601.0,10708.0,10680.0,10663.91,607.1411133599888
1519765200,10650.0,10765.0,10663.9,10740.0,610.2305388199934
1519768800,10690.0,10780.0,10740.0,10708.84,598.5661586999968
1519772400,10540.0,10719.0,10708.84,10566.57,984.5636997099886
1519776000,10525.0,10658.88,10556.3,10639.08,728.8056589699908
1519779600,10615.78,10689.0,10639.08,10679.0,358.613415119999
1519783200,10650.0,10759.47,10679.0,10675.0,928.1578259599853
1519786800,10662.6,10947.55,10675.01,10897.42,2122.691557539979
1519790400,10857.48,10969.99,10897.43,10897.5,981.8852273999863
1519794000,10877.95,10945.24,10897.49,10940.0,477.7764248099992
1519797600,10780.01,11044.0,10939.99,10806.5,2176.656935809973
1519801200,10660.0,10806.5,10806.49,10747.07,780.4051121199923
1519804800,10508.0,10798.4,10747.06,10508.0,834.8624877399927
1519808400,10478.0,10623.69,10508.0,10585.05,795.8739631699914
1519812000,10504.99,10631.87,10585.05,10574.99,302.604159539999
1519815600,10525.25,10640.94,10574.99,10557.0,413.73789882999716
1519819200,10394.0,10609.75,10557.0,10407.2,849.4611241899946
1519822800,10393.0,10504.12,10407.2,10463.04,573.2544039099962
1519826400,10450.0,10550.0,10462.43,10506.01,461.94355108999775
1519830000,10460.01,10563.33,10506.0,10504.32,553.4009517299969
1519833600,10400.0,10534.41,10500.99,10400.0,669.243366969995
1519837200,10400.0,10497.0,10400.01,10435.01,404.90028873999904
1519840800,10430.04,10541.5,10435.01,10474.65,556.6096883499938
1519844400,10465.0,10525.0,10474.64,10525.0,443.8121034399988
1519848000,10525.0,10666.0,10525.0,10638.43,1116.3427710699918
1519851600,10510.98,10679.0,10638.44,10531.0,777.261147849991
1519855200,10427.5,10559.19,10531.0,10430.0,648.0212913199981
1519858800,10263.0,10454.74,10430.0,10307.27,1712.9957597299656
1519862400,10213.99,10390.0,10307.26,10386.99,1140.1611747099848
1519866000,10300.0,10404.34,10386.99,10402.59,640.513873279993
1519869600,10280.0,10425.0,10404.34,10322.0,421.6412318299973
1519873200,10304.99,10375.0,10322.0,10352.0,293.5031361099998
1519876800,10351.99,10445.2,10351.99,10418.0,487.2086496599944
1519880400,10364.13,10420.0,10418.0,10390.01,259.4008110200002
1519884000,10321.0,10396.54,10390.0,10374.2,200.90565395000056
1519887600,10374.2,10528.57,10374.2,10513.09,521.5327362599966
1519891200,10513.09,10631.01,10513.1,10616.79,454.1517603199951
1519894800,10550.8,10620.0,10616.79,10590.0,208.004153520001
1519898400,10585.01,10719.0,10590.01,10719.0,451.79113858999864
1519902000,10649.88,10724.15,10719.0,10650.0,271.2201345599996
1519905600,10602.3,10689.63,10650.01,10613.6,234.92267650000034
1519909200,10613.6,10782.57,10613.6,10752.0,679.4323398299922
1519912800,10725.01,10787.1,10752.0,10762.29,572.580993309996
1519916400,10658.02,10762.3,10762.3,10690.2,546.3606740199963
1519920000,10681.72,10760.96,10690.21,10736.0,481.9841696099963
1519923600,10705.52,10864.04,10736.0,10840.01,816.902174769988
1519927200,10813.0,10930.0,10840.0,10919.3,1128.1020036599928
1519930800,10840.0,10934.99,10919.31,10890.0,633.5199364699915
1519934400,10860.02,11075.0,10889.99,11034.0,1745.9919534499659
1519938000,10850.11,11050.0,11034.01,10917.99,1166.9695307599795
1519941600,10748.43,10955.0,10918.0,10954.99,1224.069425459971
1519945200,10869.0,10970.0,10954.99,10895.92,809.6807322299926
1519948800,10895.0,11042.0,10895.93,11008.17,973.6837815899856
1519952400,10975.37,11149.0,11008.18,11115.27,1547.8613804299832
1519956000,11020.0,11135.0,11115.28,11030.46,806.8644978399873
1519959600,11030.41,11108.0,11030.5,11090.0,454.49057435999725
1519963200,10950.11,11121.01,11090.0,10993.0,760.8778401599914
1519966800,10920.0,11029.01,10993.0,10983.51,524.9216350799944
1519970400,10983.5,11094.01,10983.5,11080.37,404.7268474299973
1519974000,11028.28,11110.0,11080.38,11070.04,328.69676577999695
1519977600,11029.02,11110.0,11070.04,11087.91,202.2761647399995
1519981200,10850.0,11096.09,11089.08,10881.57,777.32587835999
1519984800,10827.18,10933.0,10881.56,10908.99,300.7186603499981
1519988400,10834.0,10938.73,10908.99,10902.85,199.86202329000022
1519992000,10902.85,11014.88,10902.85,11014.88,278.3176596399997
1519995600,10953.66,11031.0,11014.88,10970.01,277.7599736099999
1519999200,10765.0,10972.0,10970.01,10785.01,974.3860440799875
1520002800,10785.01,10858.57,10785.01,10850.0,334.9059390799985
1520006400,10786.0,10860.63,10850.01,10850.98,560.4321274999969
1520010000,10837.23,10890.0,10850.99,10880.0,379.75082950999825
1520013600,10861.0,10930.0,10880.0,10913.89,409.09826316999664
1520017200,10858.33,10917.15,10913.88,10901.0,544.6097766899968
1520020800,10881.8,11066.0,10903.43,11038.87,1002.7842680999943
1520024400,10982.01,11039.0,11038.88,11026.0,726.129154719996
1520028000,11000.0,11080.52,11025.99,11080.51,527.4542072299971
1520031600,10952.49,11080.51,11080.51,11000.0,539.3855503099954
1520035200,11000.0,11069.99,11000.01,11069.99,355.9786741599997
1520038800,11069.98,11198.0,11069.99,11194.13,1353.0634816699915
1520042400,11176.99,11339.0,11194.13,11285.62,1320.5691653099796
1520046000,11212.02,11321.4,11285.62,11290.0,714.3497647099887
1520049600,11284.71,11362.0,11289.99,11354.0,585.5196951499981
1520053200,11269.0,11354.01,11354.01,11305.04,458.5403792999991
1520056800,11295.1,11364.34,11305.05,11313.5,508.4273904499982
1520060400,11269.95,11349.14,11313.51,11283.78,243.59436208999995
1520064000,11230.0,11323.49,11283.78,11323.01,225.39002718000012
1520067600,11261.37,11325.0,11323.01,11290.83,168.19916050999998
